,Leaf_Area(mm2),Leaf_perimeter_1(mm),Circularity,Leaf Width (mm),Leaf Length (mm),Length to width ratio,Leaf symmetry_horizontal,Leaf symmetry_vertical,Number of indnets in leaf,Mean leaf indent width,mean leaf indent depth,Leaf fresh weight,Leaf dry wieght,Leaf_Area_2 (mm2),Speciofic leaf area,Ldmc ( mgg-1),LMA (gm-2),Chlorophyll content (Spad),Percent nitrogen,percent carbon,Adaxial epidermis cell type,Leaf_thickness,Thickness  of adaxial epidermis,Thickness  of adaxial hypodermis,Adaxial cell depth,Adaxial  hypodermis cell layers,Thickness  of abaxial epidermis,Thickness  of abaxial hypodermis,Abaxial cell depth,Abaxial  hypodermis cell layers,Depth of mesophyll,Dpeth of palisade mesophyll,Depth of spongy mesophyll,Number of stomatal clusters per mm2 of leaf ,Average distance between stomatal clusters,Substomatal chamber width,Substomatal chamber length,Number of stomata in each cluster,Abaxial length of trichomes type 1,Abaxial number of trichomes type 1,Abaxial number of trichome type 2,,Adaxial number of trichomes type 1,Adaxial number of trichome type 2,Width of petiole,Number of central vascular bundles,Number of inner vascular bundles,Number of outer vascular bundles,Length of inner vascular bundle in cross section,Width of inner vascular bundle in cross section,Length of outer vascular bundle in cross section,Width of outer vascular bundle in cross section,Petiole Length,Petiole Width,Length_Leaf_1,Length_Leaf_2,Leaf_width,Stipule_lengthRhizome count,,Number of leaves,Length of rhizome,Width of rhizome
Observation,Area,Perimeter,Circularity,width,Length,l:W,H. Symm,ver.symm ,N._I,I_w_m,I_d_m,Fw (g),Dw 1 (gm),A_2,SLA,Ldmc,LMA,Chlorophyll,%N,%C,peaked_epidermis,leaf_depth,Ad_epi,Ad_hyp,Ad_cell,Ndhc,Ab_epi,Ab_hyp,Ab_cell,Nbhc,meso,dpm,dsm,NscF,Av,sscw,sscl,Nsc,blt1,bNt1,bNt2,dlt1,dNt1,dNt2,wp,Ncvb,Nivb,Novb,Livb,wivb,Lovb,wovb,PetL,PetW,LL1,LL2,LW,StipL,rhiz,N0L,Lrhiz,wrhiz
360_001,15300.25,471.37,82.42,132.41,175.44,1.33,0.55,1.11,29.5,14.56,1.52,8.21,0.418,15175.77,363.06,50.91,27.54,43.9,3.77,50.38,1,0.54,0.0353,0.1803,0.1477,1,0.039,0.1217,0.1153,1,0.1273,0.0468,0.0837,100,0.26,0.1371,0.1089,3.8,1.397,14.667,2.667,0.233,0.333,1.333,4.9,0,5,19,0.3833,0.1537,0.2927,0.1177,165,5.73,120,165,115,27,3,18,15,10.98
360_002,5651.79,271.32,80.66,80.33,103.49,1.3,0.74,1.08,21.33,11.47,1.45,1.93,0.121,5492.07,453.89,62.69,22.03,31.5,5.78,63.64,1,0.44,0.0118,0.0601,0.0492,1,0.0312,0.0406,0.128,1,0.14,0.0581,0.0581,66.7,0.26,0.1326,0.2186,4.4,1.196,8,1,1.371,2,0.333,4.57,0,5,11,0.4303,0.1753,0.248,0.1287,180,5.18,85,125,95,15,2,10,20,7.69
360_003,8985.43,391.28,79.18,106.1,134.3,1.27,0.72,0.77,26,13,2.18,3.18,0.25,8985.43,359.42,78.61,27.82,42.93,4.31,49.43,0,0.34,0.03,0.02,0.0164,1,0.04,0.06,0.0128,1,0.11,0.04,0.06,86.7,0.22,0.0976,0.0715,1.6,1.339,15,1.333,0.992,3.333,1,5.06,1,6,23,0.347,0.1537,0.2247,0.1187,190,5.88,110,145,105,15,6,24,14.1,7.47
360_004,12470.47,408.28,85.44,119.19,147.38,1.2,0.73,1.08,29,11.92,1.71,2.54,0.176,6062.57,344.46,69.29,29.03,30.37,6.14,52.54,0,0.5,0.0367,0.195,0.151,1,0.0357,0.0702,0.124,1,0.153,0.069,0.073,86.7,0.22,0.0976,0.0715,1.6,1.704,12.667,1.333,1.03,1.667,1,5.84,0,7,24,0.4067,0.1887,0.2637,0.1273,240,7.5,165,110,120,28,2,11,20,11.73
360_005,6238.42,301.6,79.55,81.4,118.46,1.46,0.62,1.31,18,11.41,1.46,2.94,0.204,6424.59,314.93,69.39,31.75,41.5,4.41,50.55,0,0.45,0.0371,0.174,0.1673,1,0.0378,0.0967,0.1167,1,0.123,0.05,0.0693,88.3,0.26,0.1408,0.1174,2.4,0.916,14.667,2.333,0.596,1,0.333,3.65,0,6,15,0.2967,0.1647,0.2433,0.125,135,4.15,70,95,65,13,3,18,18.3,5.66
360_006,13362.04,456.1,73.6,123.55,180.52,1.46,0.54,1.54,37,11.16,1.48,2.94,0.182,13362.04,742.2,61.9,18,31.73,5.02,57.37,1,0.55,0.02,0.2,0.109,1,0.03,0.11,0.1,1,0.11,0.04,0.08,68.3,0.26,0.1668,0.1692,3.8,0.785,4.333,1,0.891,3,1.333,6.1,0,8,27,0.326,0.1997,0.25,0.1483,230,7.21,115,155,100,12,4,20,15,5.4
360_007,8238.15,364.83,83.75,97.67,125.87,1.3,0.32,1.09,24,14.12,1.91,3.41,0.215,7305.38,339.79,63.05,29.43,44.77,6.31,58.94,0,0.49,0.0384,0.15,0.1193,1,0.0396,0.1183,0.153,1,0.1657,0.0805,0.0877,61.7,0.35,0.1606,0.1478,2.8,1.156,6,0.333,0.601,4.333,0.333,5.19,0,6,23,0.3747,0.2533,0.2593,0.1653,165,6.5,100,135,100,28,3,13,15,9.1
360_008,8926.49,349.85,80.79,103.49,133.72,1.29,0.78,1.03,26,13.75,1.6,3.97,0.248,8183.22,329.97,62.47,30.31,43.13,2.54,26.87,0,0.45,0.0396,0.173,0.118,1,0.0335,0.0991,0.1073,1,0.1173,0.0374,0.0741,81.7,0.23,0.1492,0.1576,4.2,0.824,9,4.667,1.023,2,0.667,4.92,0,6,16,0.295,0.141,0.2687,0.117,170,6.21,105,145,115,28,5,22,18,7.16
360_009,21926.84,557.27,71.65,149.13,219.48,1.47,0.41,1.35,33.5,14.56,2.01,1.28,0.131,36281.86,2769.61,102.34,3.61,40.2,5.38,60.63,0,0.63,0.0308,0.1923,0.1217,1,0.0394,0.0697,0.1207,1,0.1497,0.0448,0.0899,71.7,0.23,0.0746,0.0977,1.8,1.322,11.667,1.333,1.265,5.333,1,3.81,0,5,16,0.2233,0.1377,0.2257,0.0953,145,4.65,90,120,85,24,6,26,16.3,7
360_010,8373.78,352.91,77.31,98.55,132.56,1.34,0.63,1.23,22,14.39,1.85,3.02,0.2,5650.01,282.5,66.23,35.4,44.07,3.96,42.14,0,0.54,0.0427,0.189,0.159,2,0.0399,0.0823,0.1357,1,0.1397,0.0559,0.0809,78.3,0.27,0.1472,0.1438,3.8,0.866,10.667,1.333,1.046,16.667,3.333,4.79,0,6,20,0.3753,0.178,0.3007,0.137,165,5.75,105,145,110,15,4,24,18.75,6.46
360_011,8728.24,364.24,84.61,103.78,124.42,1.18,0.43,1.07,24.5,14.22,2.11,2.99,0.142,6359.1,447.82,47.49,22.33,42.77,4.21,42,0,0.58,0.0377,0.2143,0.135,1,0.0357,0.083,0.1183,1,0.1683,0.0712,0.094,95,0.24,0.2534,0.0796,1.8,1.147,1.333,0.333,1.554,9.333,0.333,5.09,0,6,15,0.367,0.195,0.3047,0.153,235,5.68,125,170,125,28,5,23,18,8.71
360_012,6384.49,279.94,87.38,86.34,104.22,1.19,0.92,1.17,18.5,11.32,1.1,2.37,0.129,3784.22,293.35,54.43,34.09,33.53,5.44,54.16,0,0.64,0.0363,0.2317,0.131,1,0.0408,0.0973,0.1463,1,0.1427,0.0517,0.093,91.7,0.22,0.1078,0.0918,3,1.508,18.333,1.667,0.867,2.333,0,4.49,0,6,20,0.3623,0.169,0.3113,0.1577,245,6.94,75,110,80,22,6,27,15.83,7.52
360_013,8358.74,353.49,78.23,101.02,131.1,1.29,0.73,1.17,24,13.45,1.78,1.57,0.117,6297.58,538.25,74.52,18.58,31.97,2.85,49.74,0,0.45,0.0331,0.1977,0.1023,1,0.0333,0.0713,0.0991,1,0.116,0.0419,0.0871,166.7,0.21,0.1606,0.1269,6,0.576,2,0.333,1.207,16.667,1.667,4.88,0,7,27,0.3973,0.1717,0.3197,0.148,260,7.46,105,155,110,28,5,21,17,7.19
360_015,10106.31,395.93,76.42,109.01,150.73,1.38,0.59,1.22,27.5,12.95,1.74,3.22,0.23,9128.58,396.89,71.43,25.2,37.07,2.74,46.63,0,0.5,0.0457,0.1477,0.146,1,0.0414,0.1005,0.1253,1,0.1523,0.0639,0.0969,41.7,0.55,0.2212,0.1648,1.6,0.686,1.667,0.333,0.712,7.333,1,5.8,1,8,12,0.5197,0.2333,0.39,0.1907,195,5.81,105,135,90,22,3,20,21.66,9.12
360_016,21769.83,418.31,89.47,147.09,178.92,1.21,0.86,1.2,25.5,13.74,1.44,3.09,0.1511,6837.4,452.51,48.9,22.1,36.53,5.32,72.67,0,0.48,0.0438,0.1617,0.1117,1,0.0285,0.0938,0.1423,1,0.1443,0.0556,0.083,81.7,0.23,0.137,0.1078,2.8,1.065,19.667,2.333,1.308,2.333,0.333,5.57,0,6,16,0.5523,0.247,0.369,0.2157,215,7.1,90,125,95,20,4,20,18.75,8.27
360_020,14349.78,425.73,80.24,130.23,168.17,1.29,0.62,0.97,27.5,15.06,1.72,5.16,0.276,10362.19,375.44,53.49,26.64,30.13,3.32,49.58,0,0.6,0.0398,0.2177,0.2127,2,0.0393,0.0877,0.1049,1,0.1543,0.0448,0.0973,55,0.26,0.1888,0.165,5.8,1.323,7.333,1,0.873,1.667,0,6.34,1,5,22,0.4637,0.271,0.4007,0.177,160,5.05,105,145,105,26,6,22,14.16,5.29
360_021,9831.79,381.69,78.14,108.72,141.28,1.29,0.57,1.31,22,14.87,1.86,3.7,0.239,6831.56,285.84,64.59,34.98,39.43,3.19,43.55,0,0.63,0.0441,0.3123,0.1473,1,0.0437,0.1183,0.1737,1,0.1173,0.0519,0.073,98.3,0.21,0.1287,0.1518,3.2,1.042,4.667,2.333,1.106,3.667,0.667,4.99,0,6,22,0.356,0.1847,0.2767,0.153,165,6.59,115,150,115,28,6,32,23.33,8.3
360_022,11038.02,364.83,86.34,114.68,141.13,1.23,0.56,1.11,21.5,13.15,1.03,4.74,0.2,9815.69,490.78,42.19,20.38,46.5,4.56,48.96,1,0.49,0.0282,0.2167,0.1323,2,0.0289,0.0854,0.1263,1,0.179,0.0937,0.0814,56.7,0.27,0.1744,0.1511,2.6,1.555,10.333,5.667,2.027,1,0.667,4.79,0,6,11,0.4537,0.2663,0.2997,0.184,260,6.42,105,135,115,25,5,25,22,8.31
360_023,10500.02,375.29,83.21,107.12,138.52,1.29,0.83,1.15,18.5,16.63,2.12,3.06,0.148,5520.04,372.98,48.37,26.81,30.4,4.35,47.9,0,0.55,0.0388,0.262,0.1753,1,0.0418,0.1003,0.1293,1,0.1503,0.0621,0.0664,55,0.27,0.1616,0.1416,3.2,1.165,1.667,0.333,0.969,1.05,1,4.83,1,6,15,0.416,0.1987,0.2607,0.185,255,5.88,100,120,100,18,5,24,17,7.11
360_024,4961.93,271.22,88.61,72.53,96.66,1.32,0.71,0.94,22,11.45,1.35,2.06,0.155,4211.48,271.71,75.24,36.8,42.5,4,43.23,0,0.83,0.054,0.169,0.1897,1,0.0522,0.1388,0.1294,1,0.1667,0.0646,0.102,41.7,0.35,0.2084,0.2222,3.6,1.004,8,2.333,1.14,2,0,4.3,1,6,13,0.2893,0.166,0.247,0.117,270,5.29,90,105,75,28,7,41,22.14,7.95
360_025,4598.18,257.56,91.28,82.27,77.91,0.95,0.4,0.82,18,10.87,1.35,2.57,0.144,4598.18,319.32,56.03,31.32,37.17,3.08,43.77,0,0.55,0.0621,0.154,0.1613,1,0.0459,0.097,0.1613,1,0.1547,0.0787,0.0952,43.3,0.32,0.1632,0.1267,2.8,0.72,4,1,0.656,1.333,0,4.66,1,6,14,0.3863,0.1853,0.3257,0.1287,265,5.68,90,125,90,20,4,26,33.75,8.28
360_026,13332.8,497.82,75.62,129.36,168.75,1.3,0.77,1.2,30,14.88,2.91,4.09,0.277,10722.94,387.11,67.73,25.83,39.6,3.73,36.13,0,0.48,0.0478,0.152,0.13,1,0.0516,0.0738,0.153,1,0.1307,0.0428,0.0961,68.3,0.3,0.3098,0.1453,3.8,1.372,5,2,2.073,1,0.667,5.36,1,6,14,0.5197,0.271,0.459,0.2583,220,6.14,110,145,105,20,4,21,32.5,13.39
360_027,14119.67,464.24,85.87,125.58,151.89,1.21,0.73,1,26,16.33,2.76,2.83,0.22,6357.83,288.99,77.74,34.6,41.2,3.52,37.8,0,0.46,0.0409,0.1503,0.1393,1,0.0464,0.0724,0.1188,1,0.132,0.0656,0.0769,68.3,0.27,0.1402,0.1732,3.2,1.552,7.333,0.667,0.897,3,0.333,5.62,1,6,22,0.3433,0.2077,0.3127,0.1453,260,5.11,95,130,95,20,2,6,17.5,9.01
360_028,15974.6,496.95,90.97,136.63,159.3,1.16,1.08,1.08,28.5,16.32,2.57,5.08,0.298,10103.35,339.04,58.66,29.5,42.07,4.32,59.37,1,0.55,0.032,0.2237,0.1113,1,0.0344,0.1041,0.14,1,0.1317,0.0564,0.07,106.7,0.25,0.1306,0.1137,4,1.8,26.333,2,1.227,2,1,5.99,0,6,21,0.509,0.3003,0.371,0.1527,185,6.37,105,150,120,21,7,25,16.42,9.07
360_029,13533.67,435.76,85.57,120.49,148.11,1.24,0.69,1.01,23,17.15,2.46,3.11,0.183,5228.5,285.71,58.84,35,38.13,3.33,44.9,0,0.64,0.0395,0.214,0.1807,1,0.0467,0.1233,0.168,1,0.1437,0.0523,0.0904,53.3,0.31,0.1242,0.177,4.2,0.59,10.333,1.667,0.981,3,0.667,7.34,0,5,18,0.6687,0.2447,0.4263,0.209,150,5.69,105,140,100,27,3,17,16.42,11.74
360_030,15484.68,514.97,82.06,135.9,170.78,1.26,0.62,1.07,32,15.31,2.58,5.59,0.289,11557.18,399.9,51.7,25.01,44.47,3.37,33.55,0,0.48,0.0384,0.2017,0.1155,1,0.032,0.0884,0.1443,1,0.1283,0.0462,0.081,81.7,0.26,0.1408,0.1149,2.8,1.038,10.667,1.333,1.74,2,0.667,7.09,0,6,21,0.4267,0.2213,0.3507,0.1593,235,6.8,105,150,105,23,4,23,24,8.67
360_031,9258.34,366.72,82.16,104.51,130.52,1.28,0.55,1.25,22.5,14.59,1.7,2.17,0.14,6176.73,441.2,64.52,22.67,38.1,4.07,41.39,0,0.52,0.014,0.0816,0.1173,1,0.0388,0.0799,0.163,1,0.135,0.0615,0.081,76.7,0.31,0.176,0.2206,4.6,1.633,6.333,1.333,1.597,1.333,0.667,5.44,0,6,13,0.3927,0.148,0.2477,0.0958,220,6.55,110,140,110,25,7,39,22.14,7.97
360_032,10725.39,389.53,86.94,112.06,134.3,1.22,0.9,1,30,10.5,1.29,3.78,0.211,7285.61,345.29,55.82,28.96,44.07,4.07,50.89,0,0.58,0.0367,0.2633,0.1227,1,0.035,0.1087,0.127,1,0.1217,0.0537,0.067,108.3,0.22,0.1066,0.0948,3,1.397,8.667,0.667,1.373,5.333,1,6.26,0,6,22,0.5397,0.276,0.433,0.17,220,7.16,105,155,120,23,3,12,16.66,8.64
360_033,11694.41,416.86,82.13,119.91,148.98,1.23,0.9,1.26,24.5,15.9,2.46,3.41,0.263,9389.79,357.03,77.13,28.01,48.77,5.14,49.51,0,0.54,0.04,0.157,0.144,1,0.0321,0.0865,0.1377,1,0.1303,0.094,0.0911,88.3,0.27,0.1449,0.1279,3.2,1.89,21.667,1,0.885,2.333,2.333,6.58,0,6,22,0.5233,0.218,0.4537,0.171,280,6.66,115,165,120,28,8,31,16.88,8.32
360_034,10944.34,365.55,81.31,112.35,147.53,1.32,1.06,1.46,27.5,11.46,1.17,4.65,0.244,8288.35,339.69,52.47,29.44,46.6,3.74,46.08,1,0.61,0.0459,0.2447,0.1103,1,0.027,0.1327,0.1298,1,0.1343,0.0607,0.0691,98.3,0.24,0.096,0.0944,3.2,1.607,24,3.333,0.877,2,2,4.98,0,6,14,0.35,0.1897,0.2913,0.131,240,6.89,120,160,130,31,5,19,22,9.79
360_035,11949.11,418.17,76.21,115.7,164.68,1.42,0.73,0.97,28,14.05,1.75,5.13,0.064,8797.83,1374.66,12.48,7.27,38.9,3.2,39.74,0,0.75,0.042,0.2644,0.1643,2,0.0427,0.0975,0.1393,1,0.1997,0.09,0.0904,48.3,0.29,0.1219,0.1647,2.6,1.428,1.333,0,1.643,11,2,7.11,0,6,17,0.4,0.1923,0.3353,0.1557,240,6.97,110,150,110,29,5,21,19,8.38
360_036,11137.9,407.27,87.64,118.02,135.9,1.19,0.63,1.36,21.5,17.16,2.24,5.68,0.252,9577.56,380.06,44.37,26.31,44.73,4,49.5,1,0.51,0.0336,0.1593,0.136,1,0.0367,0.1177,0.154,1,0.165,0.0621,0.0985,86.7,0.26,0.127,0.1192,2.4,1.062,1,0.667,1.209,7,2.333,5.82,0,5,12,0.434,0.1897,0.3143,0.153,225,4.88,85,115,95,22,2,13,17.5,7.95
360_037,5844.63,268.46,81.52,81.69,103.2,1.29,0.71,1.3,17,12.51,1.14,2.16,0.07,3190.58,455.8,32.41,21.94,32.5,3.62,37.52,0,0.53,0.0378,0.2077,0.1673,2,0.0422,0.1137,0.1327,1,0.1126,0.0469,0.0601,118.3,0.17,0.0852,0.0777,2.8,0.907,3,1,0.609,4.667,0.333,5.48,0,6,28,0.3867,0.1627,0.2647,0.1198,90,3.22,50,70,55,8,2,8,7.5,7.95
360_039,3688.48,232.85,81.27,68.9,83.14,1.21,0.92,1.36,13,11.58,1.24,2.68,0.07,4679.89,668.56,26.12,14.96,47,3.52,36.52,0,0.63,0.0581,0.2667,0.1987,1,0.0417,0.1103,0.1557,1,0.1767,0.0908,0.088,65,0.31,0.171,0.1967,3.2,0.834,5.333,1,0.935,1.333,0.667,6.66,0,5,9,0.2857,0.1987,0.283,0.1563,245,7.06,100,130,90,18,4,21,20,8.78
360_040,8613.44,310.9,84.9,98.4,122.24,1.22,0.77,1.26,17.5,13.64,1.35,1.88,0.093,4106.1,441.52,49.47,22.65,37.43,4.05,58,0,0.42,0.032,0.1353,0.1443,1,0.0371,0.0815,0.1347,1,0.132,0.055,0.0607,108.3,0.27,0.1164,0.1149,2.8,0.711,9,3,0.915,1,1,5.03,0,7,15,0.4176,0.1862,0.3068,0.1574,300,6.38,90,130,90,23,5,23,13.33,6.73
