,Leaf_Area(mm2),Leaf_perimeter_1(mm),Circularity,Leaf Width (mm),Leaf Length (mm),Length to width ratio,Leaf symmetry_horizontal,Leaf symmetry_vertical,Number of indnets in leaf,Mean leaf indent width,mean leaf indent depth,Leaf fresh weight,Leaf dry wieght,Leaf_Area_2 (mm2),Speciofic leaf area,Ldmc ( mgg-1),LMA (gm-2),Chlorophyll content (Spad),Percent nitrogen,percent carbon,Adaxial epidermis cell type,Leaf_thickness,Thickness  of adaxial epidermis,Thickness  of adaxial hypodermis,Adaxial cell depth,Adaxial  hypodermis cell layers,Thickness  of abaxial epidermis,Thickness  of abaxial hypodermis,Abaxial cell depth,Abaxial  hypodermis cell layers,Depth of mesophyll,Dpeth of palisade mesophyll,Depth of spongy mesophyll,Number of stomatal clusters per mm2 of leaf ,Average distance between stomatal clusters,Substomatal chamber width,Substomatal chamber length,Number of stomata in each cluster,Abaxial length of trichomes type 1,Abaxial number of trichomes type 1,Abaxial number of trichome type 2,,Adaxial number of trichomes type 1,Adaxial number of trichome type 2,Width of petiole,Number of central vascular bundles,Number of inner vascular bundles,Number of outer vascular bundles,Length of inner vascular bundle in cross section,Width of inner vascular bundle in cross section,Length of outer vascular bundle in cross section,Width of outer vascular bundle in cross section,Petiole Length,Petiole Width,Length_Leaf_1,Length_Leaf_2,Leaf_width,Stipule_lengthRhizome count,,Number of leaves,Length of rhizome,Width of rhizome
360_041,8531.3,353.63,94.37,95.93,113.52,1.17,1.13,0.91,21.5,14.6,1.88,2.67,0.1,4767.86,476.79,37.45,20.97,38.87,4.18,53.09,0,0.59,0.033,0.28,0.18,1,0.0286,0.1115,0.1593,1,0.1273,0.0588,0.0623,108.3,0.27,0.1164,0.1149,2.8,1.147,2,2,0.355,0.333,1.667,5.87,0,4,14,0.703,0.273,0.5133,0.266,290,4.88,100,135,95,17,5,22,13,7.56
360_042,4765.12,261.48,83.94,73.26,97.09,1.34,0.91,0.77,24.5,10.27,1.49,2.08,0.071,4671.36,657.94,34.13,15.2,21.47,3.66,45.76,0,0.56,0.0474,0.2154,0.1313,1,0.0378,0.1119,0.176,1,0.1557,0.0643,0.0793,41.7,0.33,0.1803,0.1705,4.4,2.07,16.333,1,1,0.76,0.667,4.18,0,5,8,0.4827,0.27,0.308,0.1877,190,3.98,60,85,75,7,3,8,8.33,5.02
360_043,12202.75,471.22,82.79,126.74,148.11,1.17,0.9,1.02,26.5,16.31,3.16,5.99,0.279,12416.26,445.03,46.58,22.47,47.47,6.03,61.19,0,0.5,0.02,0.1373,0.1127,1,0.0443,0.1204,0.126,1,0.1075,0.0438,0.071,153.3,0.16,0.08,0.0668,2.2,0.956,24.667,0.333,1.645,2,0,6.02,1,6,31,0.507,0.201,0.304,0.203,300,7.07,125,155,120,28,5,23,16,7.28
360_044,9638.83,375.58,75.44,106.4,147.38,1.38,0.56,1.41,18.5,16.29,1.89,3.45,0.161,7182.85,446.14,46.67,22.41,37.2,3.65,48.65,0,0.52,0.0307,0.2243,0.1263,1,0.0331,0.1065,0.13,1,0.1383,0.0806,0.0584,108.3,0.25,0.1501,0.1553,3.6,1.983,8.667,2,3.543,2.667,1,5.33,0,6,17,0.532,0.2703,0.4297,0.1927,265,7.11,120,155,115,27,5,30,21,7.91
360_045,11370.63,370.64,83.5,113.23,144.48,1.28,0.81,1.16,21,13.76,1.16,3.28,0.14,6799.2,485.66,42.68,20.59,46.9,3.91,45.81,0,0.53,0.0342,0.1873,0.1177,1,0.0346,0.056,0.121,1,0.175,0.0759,0.105,68.3,0.28,0.1189,0.1242,3,1.742,21.333,2.667,0.915,2,1.667,5.64,1,7,18,0.5493,0.2263,0.315,0.175,220,6.84,105,150,110,30,3,16,26.66,8.85
360_046,14729.79,458.14,88.25,132.7,158.87,1.2,1.01,1.1,25,17.88,2.5,6.63,0.254,15670.46,616.95,38.31,16.21,34.8,2.75,34.38,0,0.47,0.0313,0.1393,0.097,2,0.0299,0.0661,0.1053,1,0.08,0.0424,0.064,105,0.21,0.1046,0.0866,3.4,3.33,21,0.333,3.863,4.667,0.333,5.95,1,7,17,0.516,0.2227,0.299,0.1407,225,7.02,120,165,135,28,4,17,23.75,10.33
360_048,19755.7,521.8,80.65,146.51,206.69,1.41,0.92,0.97,29,15.2,1.43,3.83,0.172,10445.76,607.31,44.91,16.47,42.57,4.46,48.16,0,0.38,0.0311,0.1097,0.1094,1,0.029,0.0694,0.1275,1,0.1167,0.0543,0.0725,90,0.22,0.1011,0.1355,3,2.47,11.667,1,3.81,3,2,7.13,0,6,16,0.7383,0.343,0.5073,0.2733,240,6.52,120,165,130,28,3,16,25,9.49
360_049,6763.2,309.3,80.86,88.37,118.02,1.34,0.63,1.22,25,11.25,1.38,2.76,0.122,6763.2,554.36,44.2,18.04,39.97,3.34,45.09,0,0.48,0.0364,0.1383,0.0997,1,0.0273,0.083,0.1023,1,0.122,0.0483,0.07,50,0.21,0.1163,0.1286,2,2.883,7.333,0.667,0.65,1.333,0,6.4,0,6,19,0.566,0.2247,0.3313,0.1333,260,6.68,110,150,110,30,4,24,27.5,9.39
360_050,9199.02,355.96,81.96,107.85,130.96,1.21,0.68,1.19,19,17.06,1.91,3.77,0.165,7651.43,463.72,43.77,21.56,48.97,4.65,54.75,0,0.57,0.0382,0.1983,0.1477,1,0.0356,0.1183,0.148,1,0.1343,0.0628,0.0916,88.3,0.59,0.2756,0.2698,3.4,1.53,10,1.333,1.407,1.333,0,5.98,1,6,28,0.5023,0.285,0.2907,0.1937,245,6.8,100,130,95,25,4,15,16.25,11.16
360_051,7759.98,328.34,86.79,92.88,118.46,1.28,0.55,0.97,15.5,16.29,1.7,2.58,0.115,5910.37,513.95,44.57,19.46,40.27,4.23,50.45,0,0.36,0.0395,0.1064,0.1287,1,0.0321,0.0809,0.0978,1,0.1083,0.0375,0.0579,70,0.27,0.1268,0.1508,3.6,1.104,4.667,1.667,1.083,1,0.667,5.21,1,8,16,0.434,0.1587,0.3047,0.172,248,4.87,80,115,85,20,6,28,15.83,8.8
360_052,7716.59,331.69,77.95,95.93,128.34,1.34,0.61,1.1,20.5,15.67,2.02,3.02,0.098,7060.15,720.42,32.45,13.88,34.23,3.92,43.04,0,0.39,0.0322,0.145,0.0977,1,0.0321,0.0648,0.1149,1,0.1023,0.0437,0.047,138.3,0.18,0.1062,0.0998,2.4,1.733,19.333,0.667,1.201,3,2,5.1,1,6,28,0.3907,0.2147,0.326,0.1773,255,6.73,95,135,95,22,6,23,15.83,6.56
360_053,11179.18,383.87,82.67,105.96,153.78,1.45,0.8,0.98,26,13.2,1.45,5.04,0.19,8092.63,425.93,37.7,23.48,35.87,3.1,40.42,0,0.57,0.0431,0.211,0.1467,1,0.0361,0.1021,0.161,1,0.1233,0.0402,0.0871,88.3,0.23,0.1079,0.1511,2.6,1.55,8.667,1,1.988,3,1.667,7,0,5,18,0.4537,0.275,0.4417,0.206,245,7.36,105,145,105,25,3,17,12.85,9.23
360_054,6672.69,316.72,81.02,89.24,116.13,1.3,0.71,1.21,24,11.17,1.51,2.24,0.1,5747.36,574.74,44.64,17.4,36.27,4.23,50.95,0,0.38,0.0315,0.1237,0.1163,1,0.0262,0.0699,0.1149,1,0.0889,0.0432,0.0524,141.7,0.2,0.0917,0.0673,2.2,1.125,8.333,1,0.871,3,2.667,5.27,1,6,19,0.5213,0.2293,0.4257,0.1937,220,5.97,95,130,95,20,7,35,12.85,8.09
360_055,14375.08,411.48,84.86,132.99,158.72,1.19,1,1.04,22,13.71,1.2,1.85,0.225,11297.66,502.12,121.62,19.92,43.17,5.09,52.47,0,0.59,0.0377,0.2527,0.1443,1,0.0438,0.1012,0.1317,1,0.1727,0.084,0.0796,125,0.22,0.1101,0.0878,3.2,1.25,14.667,2.667,1.333,0.918,1.333,7.5,1,7,32,0.589,0.2593,0.3687,0.1507,170,7.27,120,170,135,25,5,17,18,7.83
360_056,8792.93,321.08,81.59,93.02,126.02,1.37,1,1.23,18,12.78,1.4,5.51,0.024,3190.24,1329.27,4.36,7.52,43.97,3.59,49.41,0,0.59,0.0381,0.2507,0.127,2,0.0365,0.13,0.1323,1,0.1247,0.0446,0.0809,96.7,0.57,0.2204,0.2006,1.2,0.894,25.333,2.333,0.917,5.333,1.667,7.21,0,6,15,0.7447,0.34,0.544,0.2727,145,5.8,105,150,120,27,2,9,17.5,10.31
360_057,9471.84,353.05,87.18,101.45,132.99,1.3,0.89,0.97,22.5,14.86,1.45,3.45,0.126,7147.95,567.3,36.52,17.63,43.1,3.2,43.67,0,0.41,0.04,0.1233,0.1247,1,0.044,0.1007,0.126,1,0.1207,0.0456,0.07,108.3,0.26,0.1638,0.1112,3.2,1.167,15.333,0.667,1.221,1.667,0,5.94,1,6,20,0.504,0.2753,0.3907,0.189,150,6.22,100,135,100,20,4,22,21.25,8.63
360_058,12332.68,461.48,81.23,115.99,157.85,1.36,0.64,0.79,23.5,18.11,3.39,5.4,0.141,8384.01,594.61,26.11,16.82,34.13,2.99,44.24,0,0.57,0.0339,0.2943,0.169,1,0.0317,0.1149,0.1264,1,0.124,0.0604,0.0551,110,0.22,0.0797,0.0977,2.4,1.933,8.333,0.667,1.61,2.333,1.667,6.59,1,6,18,0.7273,0.276,0.4007,0.203,240,7.44,125,165,120,15,6,23,11.67,8.42
360_059,9218.83,359.74,80.95,100.87,131.69,1.31,0.6,0.99,21.5,15.61,1.72,1.92,0.055,4802.43,873.17,28.65,11.45,47.33,3.64,46.86,0,0.53,0.0491,0.1903,0.1257,1,0.0338,0.0789,0.1163,1,0.1187,0.0528,0.0648,91.7,0.29,0.1288,0.1544,4,1.349,7,3.333,1.177,1.333,1,6.38,0,6,29,0.4343,0.219,0.2677,0.145,245,6.57,100,145,110,25,5,25,22,7.67
360_060,11928.53,433.14,82.21,122.82,143.75,1.15,0.73,1.27,20,17.72,2.74,3.2,0.201,6634.75,330.09,62.81,30.3,50.1,3.18,37.97,0,0.52,0.0284,0.169,0.1163,1,0.038,0.0954,0.1026,1,0.1413,0.0565,0.0841,156.7,0.18,0.0829,0.0727,1.8,0.612,7.667,1,1.35,2,1,6.4,0,6,16,0.545,0.2337,0.3437,0.193,200,6.43,105,135,110,33,5,19,13,7.56
360_062,8055.33,348.26,87.63,96.66,117.3,1.22,0.92,1.22,25,13.44,1.72,3.47,0.134,5760.63,429.9,38.62,23.26,33.3,2.8,42.91,0,0.45,0.0388,0.173,0.1144,1,0.0272,0.0637,0.0957,1,0.116,0.0465,0.0644,113.3,0.21,0.0786,0.0809,1.6,1.041,24.667,1.333,1.757,9.333,0,5.18,0,7,20,0.4503,0.236,0.32,0.1793,165,6,90,130,90,14,2,10,17.5,9.96
360_063,6161.9,286.92,82.57,83.87,110.03,1.31,0.9,0.98,17,12.64,1.53,2.29,0.091,4827.36,530.48,39.74,18.85,33.73,3.61,50.13,0,0.46,0.0418,0.195,0.12,1,0.0326,0.1103,0.145,1,0.1237,0.0428,0.061,55,0.31,0.164,0.1642,2.8,1.05,5.333,1.667,0.718,1.333,0.667,5.69,1,6,13,0.4563,0.2467,0.3727,0.1837,200,5.83,85,125,90,22,8,43,16.88,6.96
360_065,10127.98,421.95,80.67,109.88,140.99,1.29,0.71,1.22,27.5,14.24,2.57,3.27,0.232,7804.56,336.4,70.95,29.73,39.9,4.93,46.69,0,0.39,0.0367,0.1593,0.1247,1,0.0272,0.0618,0.0918,1,0.0951,0.0361,0.0538,75,0.24,0.1368,0.1195,2.6,0.898,14.333,2.333,1.69,4.667,0,5.38,0,5,11,0.4953,0.239,0.345,0.1647,130,4.43,90,115,58,20,3,9,13.33,6.83
360_066,14526.1,473.84,89.38,138.95,146.66,1.05,0.86,0.95,27.5,15.73,2.46,5.23,0.32,9979.3,311.85,61.19,32.07,51.3,3.73,46.39,0,0.44,0.0436,0.1453,0.129,1,0.0271,0.0618,0.1263,1,0.119,0.0472,0.0708,86.7,0.19,0.1114,0.0929,2.2,1.457,15,1.667,1.633,3.667,0.667,7.46,0,6,22,0.6087,0.2633,0.4317,0.2047,210,8.6,150,200,145,25,1,8,55,19.23
360_067,7109.42,317.59,82.04,87.65,118.02,1.36,0.6,1.13,20.5,14,1.66,2.04,0.19,4513.76,237.57,93.14,42.09,39.4,4.05,49.56,0,0.44,0.0346,0.1477,0.1483,1,0.0297,0.0909,0.1753,1,0.126,0.0604,0.067,81.7,0.25,0.1454,0.1354,3.2,1.156,10.667,5.667,0.647,3.667,2.333,5.32,1,5,33,0.4273,0.1727,0.3247,0.15,220,6.26,90,115,80,22,10,45,13,6.42
360_068,12755.16,440.7,83.01,128.2,151.89,1.19,0.81,1.15,28.5,14.34,1.95,5.21,0.34,11512.98,338.62,65.26,29.53,37.7,2.37,34.24,0,0.42,0.0396,0.1377,0.0881,1,0.0286,0.0728,0.0945,1,0.1107,0.0372,0.0811,51.7,0.19,0.0948,0.0976,2,1.212,26,0,1.807,4.667,0.667,6.43,0,6,22,0.509,0.2477,0.4027,0.211,195,6.41,120,155,100,25,5,16,12,7.02
360_070,3775.56,233.58,76.97,66.72,90.12,1.34,0.8,1.18,16.5,10.91,1.47,2.68,0.135,4686.65,347.16,50.37,28.81,29.07,3.49,43.01,1,0.48,0.0286,0.2237,0.0981,3,0.0544,0.081,0.0986,1,0.0881,0.0552,0.0693,168.3,0.17,0.089,0.0818,1.4,0.54,4,0.667,0.469,1.667,1,2.15,1,5,16,0.188,0.0996,0.115,0.0591,230,5.9,90,120,58,22,6,34,15,7.61
360_071,7367.45,288.95,92.3,94.62,100.73,1.06,0.6,1.1,21.5,10.16,0.98,1.88,0.15,3810.76,254.05,79.79,39.36,31.37,3.34,41.05,0,0.65,0.04,0.279,0.1663,1,0.0483,0.1002,0.1117,1,0.1743,0.0755,0.0851,63.3,0.31,0.1848,0.174,2.6,0.524,9.333,6,0.517,2,1.333,6.08,1,7,18,0.414,0.171,0.3427,0.1587,200,5.83,115,145,110,30,4,28,23.75,6.84
360_072,7013.76,313.08,85.14,92.88,112.06,1.19,0.97,0.99,22,12.66,1.33,2.23,0.215,5115.94,237.95,96.41,42.03,43.43,5.58,56.55,0,0.65,0.0486,0.1267,0.1058,1,0.0417,0.1091,0.1283,1,0.126,0.0443,0.0803,91.7,0.24,0.1079,0.1238,3,1.185,18.333,1.667,1.21,3,1.333,5.76,1,5,11,0.446,0.2177,0.3183,0.1577,85,4.06,95,120,95,20,3,16,20,7.13
360_073,5988.96,328.2,80.05,86.48,108.87,1.27,0.88,1,22.5,13.12,2.47,2.73,0.183,6053.61,330.8,67.03,30.23,30.7,3.96,44.99,0,0.38,0.0352,0.141,0.1069,1,0.0363,0.0754,0.1115,1,0.0853,0.0343,0.0537,138.3,0.21,0.112,0.1034,2.6,1.233,19.333,1,2.078,4.667,1,4.8,1,6,19,0.407,0.18,0.3317,0.135,130,6.32,95,125,85,28,5,20,16,7.36
360_074b,5298.35,253.63,88.34,79.22,95.78,1.2,0.8,1,18.5,11.27,1.03,2.62,0.162,4547.31,280.7,61.83,35.63,43.97,3.51,44.07,0,0.49,0.0419,0.2047,0.1663,1,0.0376,0.0852,0.139,1,0.1213,0.0658,0.0512,75,0.41,0.2036,0.2036,0.19,0.939,6.333,1.667,1.39,2.667,0.667,4.76,0,5,14,0.4447,0.1297,0.3747,0.1468,170,4.9,75,105,80,22,6,33,16.67,7.21
360_079,4247.9,233.28,79.33,67.44,92.15,1.36,0.59,0.88,16,12.38,1.41,2.52,0.172,6194.9,360.17,68.25,27.76,35.9,4.1,42.6,0,0.45,0.0206,0.194,0.0805,2,0.0326,0.0952,0.07,1,0.0961,0.0326,0.0582,308.3,0.12,0.1127,0.0447,1.4,1.197,42.667,1.667,1.61,7.667,1.667,4.35,1,6,23,0.3813,0.1803,0.321,0.142,150,6.22,85,125,95,20,5,23,15,7.57
360_080,7665.63,313.66,91.32,90.84,112.21,1.23,0.62,1.1,24.5,11.22,1.34,2.02,0.18,4821.36,267.85,89.11,37.33,45.27,3.11,31.84,0,0.38,0.0368,0.1132,0.1165,1,0.0386,0.057,0.104,1,0.1035,0.0405,0.0545,73.3,0.12,0.0446,0.0448,1,1.617,11.333,1.333,1.55,3.333,1,5.79,1,5,23,0.4507,0.2337,0.3327,0.1623,105,5.34,85,120,85,18,6,27,12.5,7.8
360_081,12775.02,411.19,87.93,118.17,150.73,1.29,1.07,1.17,28,12.37,1.47,4.71,0.248,9269.96,373.79,52.65,26.75,33.47,3.35,36.58,0,0.57,0.0428,0.1383,0.159,1,0.0429,0.0846,0.137,1,0.1447,0.0654,0.0819,113.3,0.23,0.1,0.1026,3.2,1.42,17.333,3,2.419,3.667,0.667,7.47,0,6,26,0.5373,0.2363,0.3057,0.1717,180,5.79,100,140,100,22,4,25,22.5,10.28
360_082,10007.65,356.4,80.28,103.2,142.73,1.39,0.82,1.02,20,13.02,1.47,2.77,0.156,6089.69,390.36,56.32,25.62,47.43,2.32,32.13,0,0.46,0.0319,0.1377,0.1287,1,0.0317,0.0663,0.1006,1,0.1077,0.0452,0.0691,65,0.35,0.1109,0.1051,2.6,1.42,10.333,2.333,1.067,2.333,2,7.1,1,6,22,0.5173,0.2777,0.4453,0.187,160,5.88,90,130,85,24,7,22,14.29,6.49
360_083,4909.83,274.85,82.15,73.4,101.45,1.38,0.84,0.79,22.5,11.28,1.66,1.9,0.071,5442.3,766.52,37.37,13.05,38.53,3.3,35.32,0,0.35,0.0362,0.0948,0.0874,1,0.0265,0.0727,0.0882,1,0.1197,0.0664,0.0466,83.3,0.19,0.0891,0.059,1.8,0.805,2,0.667,0.829,1,0.333,3.45,1,5,12,0.239,0.0989,0.1753,0.0843,120,5.73,80,120,85,21,1,8,30,15.23
360_086,5982.92,294.33,81.48,80.38,106.4,1.33,0.68,1.24,24,10.16,1.68,1.67,0.075,3049.54,406.6,44.91,24.59,59.8,3.85,51.82,0,0.45,0.0399,0.1383,0.0926,1,0.0346,0.1046,0.13,1,0.1277,0.0359,0.0839,111.7,0.2,0.1011,0.0858,1.8,0.828,29,0.667,1.927,8,1.333,6.66,0,7,25,0.4487,0.167,0.415,0.1583,130,6.3,95,125,90,25,4,12,10,7.05
360_088,4337.4,232.41,82.47,70.64,90.55,1.28,1.05,1.51,18.5,9.81,1.06,2.76,0.112,5869.81,524.09,40.58,19.08,37.63,3.57,49.21,0,0.34,0.0315,0.1263,0.1133,1,0.0268,0.0565,0.0863,1,0.0782,0.0335,0.0409,60,0.31,0.154,0.1996,3,0.987,26,3.667,1.038,3.333,2.333,4.31,0,5,24,0.3147,0.1387,0.2573,0.134,65,3.42,65,90,65,19,1,8,20,7.68
360_089,5541.93,324.85,72.99,81.1,112.35,1.38,0.54,1.22,23,12.68,2.48,4.3,0.16,7410.51,463.16,37.21,21.59,37.37,3.49,43.01,0,0.61,0.0467,0.266,0.152,1,0.0466,0.1217,0.1553,1,0.1373,0.0619,0.0688,78.3,0.22,0.1396,0.1188,3.2,1.166,7.333,3.333,1.48,1.667,0,4.07,1,6,10,0.3827,0.194,0.233,0.1447,100,3.8,60,80,70,20,3,14,10,5.05
360_090,12733.99,398.55,90.63,129.65,136.77,1.07,1,1.28,30.5,10.99,1.17,5.61,0.212,10759.53,507.53,37.79,19.7,50.3,4.65,42.78,0,0.61,0.0467,0.266,0.152,1,0.0466,0.1217,0.1553,1,0.1373,0.0619,0.0688,115,0.19,0.0953,0.0793,1.8,0.818,9,0,1.021,1,2.667,4.07,1,6,10,0.3827,0.194,0.233,0.1447,125,5.93,80,110,95,20,4,22,13.75,6.73
360_091,15124.73,489.39,77.29,130.38,179.8,1.37,0.78,0.85,28.5,16.7,2.57,5.33,0.22,10137.24,460.78,41.28,21.7,36.37,2.23,46.17,0,0.52,0.0375,0.1337,0.1287,1,0.0423,0.081,0.1663,1,0.1427,0.0704,0.0706,46.7,0.11,0.0549,0.0442,1,1.44,11,0.667,1.477,3.667,1,7.95,1,5,22,0.748,0.29,0.42,0.2,135,5.04,75,115,80,24,3,13,13.75,6.81
360_093,5244.47,294.62,85.43,78.78,96.95,1.23,0.89,1.3,22,11.69,1.91,2.99,0.1214,6501.91,535.58,40.6,18.67,39.17,3.48,33.91,1,0.58,0.0304,0.3503,0.0947,3,0.0262,0.0636,0.0834,1,0.0981,0.0407,0.0553,135,0.14,0.0824,0.099,1.2,0.671,5,0.333,0.745,1,0,3.14,1,7,16,0.24,0.0925,0.1813,0.11,100,3.88,75,105,80,25,3,11,13.33,7.7
